publish_date,headline_text,cluster_num
20030219,aba decides against community broadcasting licence,6
20030219,act fire witnesses must be aware of defamation,6
20030219,a g calls for infrastructure protection summit,6
20030219,air nz staff in aust strike for pay rise,16
20030219,air nz strike to affect australian travellers,16
20030219,ambitious olsson wins triple jump,17
20030219,antic delighted with record breaking barca,0
20030219,aussie qualifier stosur wastes four memphis match,6
20030219,aust addresses un security council over iraq,27
20030219,australia is locked into war timetable opp,6
20030219,australia to contribute 10 million in aid to iraq,6
20030219,barca take record as robson celebrates birthday in,6
20030219,bathhouse plans move ahead,26
20030219,big hopes for launceston cycling championship,6
20030219,big plan to boost paroo water supplies,26
20030219,blizzard buries united states in bills,6
20030219,brigadier dismisses reports troops harassed in,6
20030219,british combat troops arriving daily in kuwait,6
20030219,bryant leads lakers to double overtime win,13
20030219,bushfire victims urged to see centrelink,6
20030219,businesses should prepare for terrorist attacks,11
20030219,calleri avenges final defeat to eliminate massu,6
20030219,call for ethanol blend fuel to go ahead,6
20030219,carews freak goal leaves roma in ruins,6
20030219,cemeteries miss out on funds,5
20030219,code of conduct toughens organ donation regulations,6
20030219,commonwealth bank cuts fixed home loan rates,6
20030219,community urged to help homeless youth,6
20030219,council chief executive fails to secure position,27
20030219,councillor to contest wollongong as independent,6
20030219,council moves to protect tas heritage garden,6
20030219,council welcomes ambulance levy decision,6
20030219,council welcomes insurance breakthrough,6
20030219,crean tells alp leadership critics to shut up,6
20030219,dargo fire threat expected to rise,19
20030219,death toll continues to climb in south korean subway,28
20030219,dems hold plebiscite over iraqi conflict,6
20030219,dent downs philippoussis in tie break thriller,0
20030219,de villiers to learn fate on march 5,6
20030219,digital tv will become commonplace summit,6
20030219,direct anger at govt not soldiers crean urges,6
20030219,dispute over at smithton vegetable processing plant,6
20030219,dog mauls 18 month old toddler in nsw,2
20030219,dying korean subway passengers phoned for help,6
20030219,england change three for wales match,6
20030219,epa still trying to recover chemical clean up costs,6
20030219,expressions of interest sought to build livestock,6
20030219,fed opp to re introduce national insurance,6
20030219,firefighters contain acid spill,18
20030219,four injured in head on highway crash,25
20030219,freedom records net profit for third successive,6
20030219,funds allocated for domestic violence victims,5
20030219,funds allocated for youth at risk,5
20030219,funds announced for bridge work,5
20030219,funds to go to cadell upgrade,5
20030219,funds to help restore cossack,5
20030219,german court to give verdict on sept 11 accused,6
20030219,gilchrist backs rest policy,6
20030219,girl injured in head on highway crash,25
20030219,gold coast to hear about bilby project,1
20030219,golf club feeling smoking ban impact,6
20030219,govt is to blame for ethanols unpopularity opp,6
20030219,greens offer police station alternative,4
20030219,griffiths under fire over project knock back,6
20030219,group to meet in north west wa over rock art,12
20030219,hacker gains access to eight million credit cards,6
20030219,hanson is grossly naive over nsw issues costa,2
20030219,hanson should go back where she came from nsw mp,2
20030219,harrington raring to go after break,0
20030219,health minister backs organ and tissue storage,6
20030219,heavy metal deposits survey nearing end,6
20030219,injured rios pulls out of buenos aires open,25
20030219,inquest finds mans death accidental,7
20030219,investigations underway into death toll of korean,24
20030219,investigation underway into elster creek spill,24
20030219,iraqs neighbours plead for continued un inspections,28
20030219,iraq to pay for own rebuilding white house,6
20030219,irish man arrested over omagh bombing,7
20030219,irrigators vote over river management,6
20030219,israeli forces push into gaza strip,1
20030219,jury to consider verdict in murder case,23
20030219,juvenile sex offenders unlikely to reoffend as,6
20030219,kelly disgusted at alleged bp ethanol scare,6
20030219,kelly not surprised ethanol confidence low,6
20030219,korean subway fire 314 still missing,6
20030219,last minute call hands alinghi big lead,13
20030219,low demand forces air service cuts,6
20030219,man arrested after central qld hijack attempt,7
20030219,man charged over cooma murder,7
20030219,man fined after aboriginal tent embassy raid,7
20030219,man jailed over keno fraud,7
20030219,man with knife hijacks light plane,7
20030219,martin to lobby against losing nt seat in fed,6
20030219,massive drug crop discovered in western nsw,2
20030219,mayor warns landfill protesters,8
20030219,meeting to consider tick clearance costs,23
20030219,meeting to focus on broken hill water woes,22
20030219,moderate lift in wages growth,6
20030219,more than 40 pc of young men drink alcohol at,6
20030219,more water restrictions predicted for northern tas,22
20030219,more women urged to become councillors,6
20030219,most highly educated live in nsw wa,2
20030219,mp raises hospital concerns in parliament,6
20030219,mp rejects ambulance levy claims,6
20030219,mugabe to touch down in paris for summit,6
20030219,national gallery gets all clear after,6
20030219,nato gives green light to defend turkey,6
20030219,nca defends aboriginal tent embassy raid,6
20030219,new zealand imposes visa entry for zimbabwe,6
20030219,no side effects for new whooping cough vaccine,6
20030219,nsw govt under fire for holding back vegetation,2
20030219,nsw opp defends claims of running race campaign,2
20030219,nsw opp pledges 50m drought relief,2
20030219,nt govt boosts nurse number with overseas intake,6
20030219,nth koreans seek asylum at japanese embassy,6
20030219,nursing student intake down,6
20030219,oh brother your times up says ganguly senior,6
20030219,omodei to stay in politics,6
20030219,onesteel to invest 80m in whyalla steelworks,6
20030219,opposition urged to help protect recherche bay,6
20030219,orientation begins for uni students,6
20030219,osullivan in world cross country doubt,6
20030219,pagan says rule changes not necessary,6
20030219,pair to face court over ayr murder,29
20030219,patterson defends decision not to attend health,6
20030219,patterson no show displays govts arrogance crean,6
20030219,patterson snubs health meeting to avoid lions den,6
20030219,peace agreement may bring respite for venezuela,6
20030219,pienaar shines as ajax frustrate arsenal,6
20030219,plan for second skatepark,26
20030219,plan to encourage farmers into plantation timber,26
20030219,png nurses strike after colleague raped on way to,16
20030219,police cracking down on driver safety,4
20030219,police defend aboriginal tent embassy raid,4
20030219,policewomen accusations feature at federal crime,6
20030219,probe launched into plane crash,6
20030219,program to monitor forest harvested areas,6
20030219,public urged to check gas cylinders,6
20030219,public warned about phone scam,8
20030219,qantas international crews to strike over pay,16
20030219,qantas war plan to cut 2500 jobs outrages unions,26
20030219,qr not planning northern route sackings,26
20030219,questions public anger grows after korean subway,6
20030219,rabbit control program on trial,6
20030219,radioactive spill at wmcs olympic dam mine,18
20030219,rain eases wheatbelt water woes,22
20030219,reading go third in first division,6
20030219,record amount for gladstone ventures,6
20030219,refshauge wins defamation court case,17
20030219,regulator to inspect gm canola trials,6
20030219,report highlights container terminal potential,18
20030219,resource stocks boost all ords,6
20030219,restraint order issued against anti discrimination,6
20030219,rfs rejects claim that act authorities spurned,6
20030219,ricciuto undergoes surgery on injured ankle,6
20030219,rice mill closures to put 300 out of work,11
20030219,rsl angry about reports of troop harassment,6
20030219,safety review begins after bushwalker death,6
20030219,sa premier calls for action over river murray,6
20030219,saudi arabians to stand trial over al qaeda,15
20030219,saudi arabia tells arabs war on iraq inevitable,6
20030219,search continues for victims in south korean subway,28
20030219,second resolution on iraq expected shortly un,14
20030219,shire offers assurances over finances,3
20030219,six palestinians killed in gaza incursion,21
20030219,slow recovery predicted for aust economy,6
20030219,smoking bans hit tabcorp bottom line,6
20030219,snowtown murder trial delayed,6
20030219,states may be forced to label ethanol fuel,6
20030219,stations to get fixed home phone service,6
20030219,sterrey to steer sharks,6
20030219,still no sign of missing fisherman,6
20030219,stop changing the rules fans tell afl,6
20030219,sugar industry plan to be revealed,26
20030219,surge in new car sales in aust abs,6
20030219,swiss challengers looking to future,6
20030219,taipans placing future in publics hands,6
20030219,talk of asian nuclear arms race unhelpful downer,12
20030219,tasmanian scientists to search for east coast,6
20030219,taylor denies calling on waugh to quit,6
20030219,teen to face court over drug charges,29
20030219,testing shows dioxin above drinking water standards,22
20030219,thousands remember 61st anniversary of darwin,6
20030219,unions to ask members to support public protests,14
20030219,uni to continue tree disease study,28
20030219,us british aircraft attack sth iraq target,6
20030219,vff to buy stock feed pellets for fire affected,6
20030219,vic local councils welcome single polling day,27
20030219,victorian scientists honoured at awards,6
20030219,vowles to retire at end of season,6
20030219,wales coach accuses players of belittling red,6
20030219,warne hearing set for friday,8
20030219,webb favourite for ladies masters,6
20030219,widnes abandon paul bid,6
20030219,wildlife sanctuaries plan revealed,26
20030219,williams says tight bowling key to warriors win,17
20030219,wine chief bounces back from sacking,6
20030219,worksafe probes potato harvester injuries,6
20030220,15 dead in rebel bombing raid philippines army,6
20030220,abattoir up for sale again,6
20030220,academic upbeat about higher education review,6
20030220,administrator to be appointed to land council,2
20030220,aec to declare if nt to lose parliamentary seat,6
20030220,amcor records solid profit result,6
20030220,americas cup fourth race cancelled,6
20030220,arsenal poised to swoop on beckham report,6
20030220,aust drinking less alcohol smoking less study,6
20030220,austeel eis release due soon nsw govt,2
20030220,australian flag celebrates 100th birthday,6
20030220,awu to hold meeting over port kembla jobs,10
20030220,baby badly burnt in brisbane house fire,6
20030220,bad weather might have caused iranian plane crash,6
20030220,beckham leads as man u cut down depleted juve,13
20030220,beware the standard alcoholic drink,6
20030220,bilby dream to become reality,6
20030220,brisbane sparkies head for 10 day strike,16
20030220,britain tells nationals to leave iraq kuwait,6
20030220,british high court overturns new blair asylum,6
20030220,british magician to entomb himself in cheese,6
20030220,bungle leaves doctor waiting to practise,6
20030220,bushfire coronial inquiry winds up,6
20030220,bush thanks nato for support on turkey,14
20030220,call for ambos help in wake of funding changes,5
20030220,canegrowers hope for late summer rain,9
20030220,capriati hungry again in dubai,6
20030220,celts underdogs for uefa clash oneill,6
20030220,chambers vows to smash world mark,6
20030220,charvis pays penalty as humphreys earns shock,6
20030220,christmas is detention centre no go claims quashed,6
20030220,claim defence spending priority over health nt,10
20030220,claim education policy causing high indigenous,6
20030220,claim new code should protect autopsy consent,6
20030220,claim tas education policy causing high indigenous,6
20030220,college to continue work experience,28
20030220,concern act fire probe not covered by legal,6
20030220,concorde makes emergency landing in canada,2
20030220,coronial inquiry expected after hospital death,6
20030220,council chief laments job advertising decision,10
20030220,council general manager to step down,6
20030220,council to offer vandalism reporting reward,3
20030220,country racing clubs still hold tab fears,10
20030220,court to rule on longford gas compo today,6
20030220,cristal end eight match libertadores losing streak,6
20030220,cuper slams inter bad boy recoba,6
20030220,deportivo slip against buoyant swiss minnows basel,6
20030220,distance swimmer maroney calls it quits,6
20030220,dixon dismisses qantas monopoly claim,6
20030220,downer warns iraq action could begin soon,8
20030220,drought breaking rain may be months away,3
20030220,drought impact may be more far reaching,3
20030220,drought taking toll on insects,3
20030220,early childhood development to receive research,6
20030220,ellis webb well placed in ladies masters,6
20030220,employee granted restraining order against a d,6
20030220,england almost choke on burger king,6
20030220,england call up morris for first cap,6
20030220,epa to investigate radioactive spill in sa,18
20030220,esso not responsible for economic losses from gas,6
20030220,esso wins against class action for longford gas,17
20030220,etienne agrees to tyson fight,6
20030220,families confront korean president elect over,6
20030220,fans join flower olonga in anti mugabe protest,6
20030220,ferguson hails beckham in uniteds victory,6
20030220,fewer australians being jailed abs,6
20030220,fifa boss prepared to postpone matches for war,6
20030220,firefighters told to not attend tip blazes,18
20030220,fish cleaning facility plans announced,26
20030220,flight attendant action wont affect bundaberg,6
20030220,forest alliance rejects hindrance claims,6
20030220,former bank worker pleads guilty to theft charges,6
20030220,former treasurer charged with starting fire on sa,6
20030220,forum puts focus on regional needs,11
20030220,four nominate for nats charters towers preselection,6
20030220,france drop merceron gelez to face scots,6
20030220,french expedition site to be heritage protected,6
20030220,fuel price jumps in newcastle,6
20030220,fulham smash west brom with quickfire trio,6
20030220,ganguly leads india to victory,13
20030220,gartner wines to be wound up,6
20030220,gippsland firefighters remain on guard,18
20030220,govt canvassing ways to improve child development,6
20030220,govt to work with rhh after coroners suicide report,11
20030220,greenpeace calls for ban on gm canola,6
20030220,greens dump anti terror kits on howards doorstep,6
20030220,group airs truancy concerns,6
20030220,groups praise outgoing opposition agriculture,6
20030220,group to take over reef hq building,6
20030220,hagan to blood rookies against penrith,6
